fitness,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,fliplr,flipud,mosaic,mixup
0.15012,0.01593,0.7,0.5,5.0,0.13335,0.58037,0.0,0.0,0.5,0.0,1.0,0.0
0.15417,0.01515,0.7,0.49728,5.0,0.10755,0.55307,0.0,0.0,0.5,0.0,0.99686,0.0
0.16306,0.015,0.65114,0.33137,6.62678,0.13407,0.55226,0.0,0.0,0.5,0.0,0.92406,0.0
0.15388,0.0158,0.664,0.4783,5.14061,0.11101,0.54128,0.0,0.0,0.5,0.0,0.98528,0.0
0.16649,0.015,0.7,0.5,5.01738,0.10051,0.527,0.0,0.0,0.5,0.0,1.0,0.0
0.11264,0.015,0.7,0.5,5.0,0.1,0.6,0.0,0.0,0.5,0.0,0.85403,0.0
0.1781,0.015,0.7,0.4351,5.64954,0.1,0.6,0.0,0.0,0.5,0.0,0.94577,0.0
0.14922,0.01608,0.64098,0.41131,5.56569,0.11518,0.45683,0.0,0.0,0.5,0.0,0.92994,0.0
0.15178,0.015,0.7,0.5,5.01738,0.1,0.46883,0.0,0.0,0.5,0.0,0.92593,0.0
0.12768,0.015,0.7,0.5,6.25792,0.1,0.50762,0.0,0.0,0.5,0.0,0.93591,0.0
0.14765,0.01522,0.7,0.5,5.01738,0.12611,0.46144,0.0,0.0,0.5,0.0,1.0,0.0
0.14618,0.01522,0.7,0.5,5.0,0.1,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.10161,0.015,0.64605,0.47509,6.62822,0.10902,0.59289,0.0,0.0,0.5,0.0,0.95584,0.0
0.15638,0.015,0.57396,0.4515,5.01738,0.1,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.16584,0.01522,0.68458,0.5,5.01738,0.11341,0.57425,0.0,0.0,0.5,0.0,0.90683,0.0
0.13914,0.01522,0.7,0.49168,5.26403,0.1,0.47889,0.0,0.0,0.5,0.0,0.97042,0.0
0.13297,0.015,0.60623,0.48313,5.8855,0.1,0.58081,0.0,0.0,0.5,0.0,1.0,0.0
0.16542,0.01522,0.65659,0.5,5.23815,0.1,0.5834,0.0,0.0,0.5,0.0,1.0,0.0
0.16551,0.01524,0.7,0.5,5.01976,0.10906,0.5514,0.0,0.0,0.5,0.0,1.0,0.0
0.15833,0.01517,0.68134,0.5,5.0132,0.10851,0.57086,0.0,0.0,0.5,0.0,1.0,0.0
0.13836,0.015,0.62716,0.5,5.8091,0.1,0.46883,0.0,0.0,0.5,0.0,1.0,0.0
0.15029,0.01798,0.67702,0.5,5.0,0.1,0.50491,0.0,0.0,0.5,0.0,1.0,0.0
0.1914,0.01522,0.7,0.5,5.0,0.11541,0.46307,0.0,0.0,0.5,0.0,1.0,0.0
0.12559,0.01522,0.59656,0.4106,5.00978,0.10902,0.56778,0.0,0.0,0.5,0.0,1.0,0.0
0.12877,0.015,0.54541,0.378,5.0,0.1,0.6,0.0,0.0,0.5,0.0,0.875,0.0
0.14543,0.01726,0.7,0.47921,5.0,0.11719,0.56048,0.0,0.0,0.5,0.0,0.99781,0.0
0.1588,0.01522,0.7,0.49873,5.0,0.10039,0.55226,0.0,0.0,0.5,0.0,0.93016,0.0
0.14828,0.015,0.65411,0.5,5.30458,0.11236,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.12138,0.02116,0.6737,0.5,7.01636,0.1,0.46883,0.0,0.0,0.5,0.0,0.94067,0.0
0.1681,0.015,0.7,0.37288,5.01738,0.11086,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.16361,0.01582,0.7,0.46302,5.0756,0.1111,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.13299,0.01527,0.7,0.5,5.02701,0.1,0.55226,0.0,0.0,0.5,0.0,0.99796,0.0
0.15118,0.01522,0.63472,0.5,5.0,0.16085,0.50131,0.0,0.0,0.5,0.0,0.92633,0.0
0.13275,0.015,0.7,0.5,5.06305,0.1082,0.50511,0.0,0.0,0.5,0.0,1.0,0.0
0.16953,0.015,0.7,0.5,6.32916,0.10902,0.57025,0.0,0.0,0.5,0.0,0.99007,0.0
0.15272,0.015,0.7,0.5,5.0,0.1,0.6,0.0,0.0,0.5,0.0,0.99446,0.0
0.1496,0.01593,0.54203,0.43864,5.80092,0.10505,0.53063,0.0,0.0,0.5,0.0,1.0,0.0
0.14898,0.015,0.67019,0.46114,5.0,0.1,0.59913,0.0,0.0,0.5,0.0,0.97088,0.0
0.20487,0.015,0.63724,0.43541,5.0,0.1,0.56284,0.0,0.0,0.5,0.0,1.0,0.0
0.18063,0.015,0.63724,0.35369,5.0,0.1,0.54257,0.0,0.0,0.5,0.0,0.9794,0.0
0.18282,0.015,0.50713,0.43541,5.0,0.11425,0.47371,0.0,0.0,0.5,0.0,1.0,0.0
0.14275,0.015,0.68366,0.38334,5.76335,0.1,0.4642,0.0,0.0,0.5,0.0,1.0,0.0
0.15522,0.015,0.7,0.5,5.16574,0.11532,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.13605,0.015,0.7,0.49314,5.0,0.1,0.56903,0.0,0.0,0.5,0.0,1.0,0.0
0.15818,0.01541,0.7,0.5,5.09551,0.1,0.48175,0.0,0.0,0.5,0.0,0.97088,0.0
0.15628,0.015,0.7,0.5,5.13589,0.1,0.535,0.0,0.0,0.5,0.0,0.89774,0.0
0.15972,0.015,0.63724,0.46107,5.04995,0.1,0.56284,0.0,0.0,0.5,0.0,1.0,0.0
0.13253,0.01505,0.63512,0.43869,5.03083,0.1,0.56554,0.0,0.0,0.5,0.0,1.0,0.0
